Location,Pressure3pm,Rainfall,Humidity3pm,Cloud3pm,RainToday,RainTomorrow
Albury,Normal,Acumulo Leve,Baixa,Nublado,Yes,No
Albury,Normal,Sem Chuva,Baixa,Parcialmente Nublado,No,No
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Médio,Média,Nublado,Yes,Yes
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Baixa,Acumulo Alto,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Médio,Média,Nublado,Yes,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Acumulo Alto,Média,Parcialmente Nublado,Yes,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Baixa,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Média,Céu Limpo,Yes,Yes
Albury,Normal,Acumulo Médio,Alta,Nublado,Yes,Yes
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Média,Nublado,No,No
Albury,Baixa,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Baixa,Parcialmente Nublado,No,No
Albury,Alta,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Alta,Parcialmente Nublado,No,Yes
Albury,Normal,Acumulo Médio,Média,Céu Limpo,Yes,No
Albury,Baixa,Acumulo Leve,Média,Nublado,Yes,Yes
Albury,Baixa,Acumulo Leve,Média,Céu Limpo,Yes,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Alta,Acumulo Leve,Média,Céu Limpo,Yes,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Alta,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Baixa,Acumulo Médio,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Baixa,Sem Chuva,Alta,Nublado,No,Yes
Albury,Alta,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Baixa,Sem Chuva,Média,Nublado,No,Yes
Albury,Baixa,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,Yes
Albury,Alta,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Baixa,Acumulo Leve,Média,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Médio,Alta,Parcialmente Nublado,Yes,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Baixa,Acumulo Médio,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Médio,Alta,Nublado,Yes,Yes
Albury,Alta,Acumulo Leve,Média,Nublado,Yes,Yes
Albury,Alta,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Alta,Parcialmente Nublado,Yes,Yes
Albury,Alta,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Alta,Acumulo Leve,Média,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,Yes
Albury,Alta,Acumulo Leve,Média,Nublado,Yes,No
Albury,Normal,Acumulo Médio,Alta,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,Yes
Albury,Normal,Acumulo Leve,Média,Céu Limpo,Yes,No
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Baixa,Acumulo Médio,Média,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Baixa,Sem Chuva,Média,Nublado,No,No
Albury,Baixa,Sem Chuva,Média,Nublado,No,Yes
Albury,Baixa,Acumulo Leve,Média,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,Yes
Albury,Normal,Acumulo Médio,Média,Céu Limpo,Yes,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Baixa,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Baixa,Sem Chuva,Média,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Média,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Acumulo Médio,Média,Céu Limpo,Yes,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Média,Nublado,No,No
Albury,Baixa,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Média,Parcialmente Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Baixa,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Baixa,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Baixa,Sem Chuva,Média,Nublado,No,Yes
Albury,Baixa,Acumulo Médio,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Médio,Média,Nublado,Yes,Yes
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Baixa,Sem Chuva,Baixa,Céu Limpo,No,Yes
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Baixa,Sem Chuva,Baixa,Nublado,No,No
Albury,Baixa,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Baixa,Nublado,No,No
Albury,Normal,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Baixa,Nublado,No,Yes
Albury,Baixa,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Médio,Média,Céu Limpo,Yes,No
Albury,Normal,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Baixa,Céu Limpo,No,Yes
Albury,Normal,Acumulo Médio,Alta,Nublado,Yes,Yes
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Baixa,Parcialmente Nublado,No,No
Albury,Baixa,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Baixa,Nublado,No,No
Albury,Normal,Sem Chuva,Baixa,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Baixa,Nublado,No,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,Yes
Albury,Alta,Acumulo Leve,Média,Parcialmente Nublado,Yes,No
Albury,Normal,Sem Chuva,Baixa,Parcialmente Nublado,No,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Baixa,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Baixa,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Alta,Parcialmente Nublado,Yes,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,Yes
Albury,Alta,Acumulo Médio,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Médio,Alta,Nublado,Yes,Yes
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Alta,Acumulo Leve,Média,Nublado,Yes,No
Albury,Alta,Sem Chuva,Alta,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,No
Albury,Baixa,Acumulo Médio,Alta,Nublado,Yes,Yes
Albury,Baixa,Acumulo Médio,Alta,Nublado,Yes,Yes
Albury,Baixa,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,Yes
Albury,Alta,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Alta,Acumulo Leve,Média,Parcialmente Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,Yes
Albury,Alta,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Alta,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Alta,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,Yes
Albury,Baixa,Acumulo Médio,Média,Nublado,Yes,Yes
Albury,Baixa,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,No
Albury,Alta,Sem Chuva,Alta,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,No
Albury,Alta,Sem Chuva,Alta,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Baixa,Acumulo Leve,Média,Nublado,Yes,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,No
Albury,Baixa,Sem Chuva,Média,Nublado,No,Yes
Albury,Alta,Acumulo Leve,Média,Nublado,Yes,No
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,No
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,No
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Alta,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Acumulo Leve,Média,Céu Limpo,Yes,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Baixa,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Baixa,Acumulo Médio,Alta,Nublado,Yes,No
Albury,Baixa,Sem Chuva,Alta,Nublado,No,Yes
Albury,Baixa,Acumulo Leve,Média,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Baixa,Acumulo Leve,Média,Nublado,Yes,Yes
Albury,Baixa,Acumulo Leve,Média,Nublado,Yes,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Baixa,Sem Chuva,Média,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Baixa,Acumulo Leve,Média,Céu Limpo,Yes,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Normal,Sem Chuva,Baixa,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Baixa,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Média,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Baixa,Nublado,No,No
Albury,Baixa,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Alta,Nublado,No,Yes
Albury,Baixa,Acumulo Médio,Média,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Baixa,Céu Limpo,Yes,No
Albury,Baixa,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Baixa,Parcialmente Nublado,No,No
Albury,Baixa,Sem Chuva,Baixa,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Baixa,Parcialmente Nublado,No,No
Albury,Normal,Acumulo Leve,Média,Parcialmente Nublado,Yes,Yes
Albury,Baixa,Sem Chuva,Baixa,Céu Limpo,No,Yes
Albury,Baixa,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Baixa,Nublado,No,No
Albury,Baixa,Sem Chuva,Baixa,Parcialmente Nublado,No,No
Albury,Baixa,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Baixa,Céu Limpo,No,Yes
Albury,Baixa,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Baixa,Acumulo Médio,Alta,Nublado,Yes,Yes
Albury,Baixa,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Normal,Acumulo Leve,Baixa,Céu Limpo,Yes,No
Albury,Baixa,Sem Chuva,Baixa,Nublado,No,No
Albury,Baixa,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,No
Albury,Normal,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Baixa,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Normal,Acumulo Leve,Baixa,Céu Limpo,Yes,No
Albury,Baixa,Sem Chuva,Baixa,Nublado,No,Yes
Albury,Baixa,Acumulo Leve,Baixa,Nublado,Yes,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Baixa,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,Yes
Albury,Alta,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Acumulo Médio,Média,Nublado,Yes,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Médio,Média,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Médio,Alta,Nublado,Yes,Yes
Albury,Baixa,Acumulo Alto,Média,Nublado,Yes,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,Yes
Albury,Normal,Acumulo Leve,Média,Céu Limpo,Yes,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Média,Nublado,No,Yes
Albury,Normal,Acumulo Médio,Média,Céu Limpo,Yes,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Baixa,Sem Chuva,Média,Nublado,No,Yes
Albury,Baixa,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Baixa,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,Yes
Albury,Alta,Acumulo Leve,Média,Nublado,Yes,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,No
Albury,Normal,Sem Chuva,Alta,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Alta,Parcialmente Nublado,Yes,No
Albury,Normal,Sem Chuva,Alta,Céu Limpo,No,No
Albury,Baixa,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Acumulo Médio,Alta,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Alta,Céu Limpo,Yes,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Médio,Alta,Nublado,Yes,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,Yes
Albury,Alta,Acumulo Leve,Alta,Céu Limpo,Yes,No
Albury,Alta,Sem Chuva,Alta,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Baixa,Sem Chuva,Alta,Nublado,No,Yes
Albury,Baixa,Acumulo Leve,Média,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Baixa,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Baixa,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Alta,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,Yes
Albury,Baixa,Acumulo Leve,Alta,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Alta,Nublado,Yes,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Alta,Acumulo Leve,Média,Nublado,Yes,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,Yes
Albury,Normal,Acumulo Leve,Média,Parcialmente Nublado,Yes,Yes
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Média,Parcialmente Nublado,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Média,Parcialmente Nublado,Yes,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Céu Limpo,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,No
Albury,Normal,Sem Chuva,Alta,Parcialmente Nublado,No,Yes
Albury,Alta,Sem Chuva,Alta,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Alta,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Céu Limpo,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Normal,Sem Chuva,Alta,Nublado,No,Yes
Albury,Normal,Acumulo Leve,Média,Nublado,Yes,No
Albury,Normal,Sem Chuva,Média,Nublado,No,No
Albury,Alta,Sem Chuva,Média,Nublado,No,No
